,constituent,emergent_behavior
167,one heating system,optimise energy usage in a range of weather conditions
168,distributed traffic lights network,optimise energy usage in a range of weather conditions
169,distributed traffic lights network,optimise energy usage in a range of weather conditions
170,Storage Agent,promote to use a VPP from a new electricity production cost policy
171,Battery storages,promote to use a VPP from a new electricity production cost policy
172,Storage Agent,promote to use a VPP from a new electricity production cost policy
173,Battery storages,promote to use a VPP from a new electricity production cost policy
174,Battery storages,promote to use a VPP from a new electricity production cost policy
175,Battery storages,promote to use a VPP from a new electricity production cost policy
176,Battery storages,promote to use a VPP from a new electricity production cost policy
177,Electric Load,promote to use a VPP from a new electricity production cost policy
178,Building Management System (BMS),promote to use a VPP from a new electricity production cost policy
179,Heating/Ventilation and Air-Conditioning system (HVAC),promote to use a VPP from a new electricity production cost policy
180,Building Management System (BMS),promote to use a VPP from a new electricity production cost policy
181,smart home applications utilizing IoT technologies,promote to use a VPP from a new electricity production cost policy
182,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),promote to use a VPP from a new electricity production cost policy
183,Heating/Ventilation and Air-Conditioning system (HVAC),promote to use a VPP from a new electricity production cost policy
184,one heating system,promote to use a VPP from a new electricity production cost policy
185,distributed traffic lights network,promote to use a VPP from a new electricity production cost policy
186,distributed traffic lights network,promote to use a VPP from a new electricity production cost policy
187,Storage Agent,cluster together into local energy collectives
188,Battery storages,cluster together into local energy collectives
189,Storage Agent,cluster together into local energy collectives
190,Battery storages,cluster together into local energy collectives
191,Battery storages,cluster together into local energy collectives
192,Battery storages,cluster together into local energy collectives
193,Battery storages,cluster together into local energy collectives
194,Electric Load,cluster together into local energy collectives
195,Building Management System (BMS),cluster together into local energy collectives
196,Heating/Ventilation and Air-Conditioning system (HVAC),cluster together into local energy collectives
197,Building Management System (BMS),cluster together into local energy collectives
198,smart home applications utilizing IoT technologies,cluster together into local energy collectives
199,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),cluster together into local energy collectives
200,Heating/Ventilation and Air-Conditioning system (HVAC),cluster together into local energy collectives
201,one heating system,cluster together into local energy collectives
202,distributed traffic lights network,cluster together into local energy collectives
203,distributed traffic lights network,cluster together into local energy collectives
204,Storage Agent,market mechanisms
205,Battery storages,market mechanisms
206,Storage Agent,market mechanisms
207,Battery storages,market mechanisms
208,Battery storages,market mechanisms
209,Battery storages,market mechanisms
210,Battery storages,market mechanisms
211,Electric Load,market mechanisms
212,Building Management System (BMS),market mechanisms
213,Heating/Ventilation and Air-Conditioning system (HVAC),market mechanisms
214,Building Management System (BMS),market mechanisms
215,smart home applications utilizing IoT technologies,market mechanisms
216,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),market mechanisms
217,Heating/Ventilation and Air-Conditioning system (HVAC),market mechanisms
218,one heating system,market mechanisms
219,distributed traffic lights network,market mechanisms
220,distributed traffic lights network,market mechanisms
221,Storage Agent,peak optimization
222,Battery storages,peak optimization
223,Storage Agent,peak optimization
224,Battery storages,peak optimization
225,Battery storages,peak optimization
226,Battery storages,peak optimization
227,Battery storages,peak optimization
228,Electric Load,peak optimization
229,Building Management System (BMS),peak optimization
230,Heating/Ventilation and Air-Conditioning system (HVAC),peak optimization
231,Building Management System (BMS),peak optimization
232,smart home applications utilizing IoT technologies,peak optimization
233,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),peak optimization
234,Heating/Ventilation and Air-Conditioning system (HVAC),peak optimization
235,one heating system,peak optimization
236,distributed traffic lights network,peak optimization
237,distributed traffic lights network,peak optimization
238,Storage Agent,distributed negotiations between groups
239,Battery storages,distributed negotiations between groups
240,Storage Agent,distributed negotiations between groups
241,Battery storages,distributed negotiations between groups
242,Battery storages,distributed negotiations between groups
243,Battery storages,distributed negotiations between groups
244,Battery storages,distributed negotiations between groups
245,Electric Load,distributed negotiations between groups
246,Building Management System (BMS),distributed negotiations between groups
247,Heating/Ventilation and Air-Conditioning system (HVAC),distributed negotiations between groups
248,Building Management System (BMS),distributed negotiations between groups
249,smart home applications utilizing IoT technologies,distributed negotiations between groups
250,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),distributed negotiations between groups
251,Heating/Ventilation and Air-Conditioning system (HVAC),distributed negotiations between groups
252,one heating system,distributed negotiations between groups
253,distributed traffic lights network,distributed negotiations between groups
254,distributed traffic lights network,distributed negotiations between groups
255,Storage Agent,optimizations of the decisions of the Smart Grid given the best control design
256,Battery storages,optimizations of the decisions of the Smart Grid given the best control design
257,Storage Agent,optimizations of the decisions of the Smart Grid given the best control design
258,Battery storages,optimizations of the decisions of the Smart Grid given the best control design
259,Battery storages,optimizations of the decisions of the Smart Grid given the best control design
260,Battery storages,optimizations of the decisions of the Smart Grid given the best control design
261,Battery storages,optimizations of the decisions of the Smart Grid given the best control design
262,Electric Load,optimizations of the decisions of the Smart Grid given the best control design
263,Building Management System (BMS),optimizations of the decisions of the Smart Grid given the best control design
264,Heating/Ventilation and Air-Conditioning system (HVAC),optimizations of the decisions of the Smart Grid given the best control design
265,Building Management System (BMS),optimizations of the decisions of the Smart Grid given the best control design
266,smart home applications utilizing IoT technologies,optimizations of the decisions of the Smart Grid given the best control design
267,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),optimizations of the decisions of the Smart Grid given the best control design
268,Heating/Ventilation and Air-Conditioning system (HVAC),optimizations of the decisions of the Smart Grid given the best control design
269,one heating system,optimizations of the decisions of the Smart Grid given the best control design
270,distributed traffic lights network,optimizations of the decisions of the Smart Grid given the best control design
271,distributed traffic lights network,optimizations of the decisions of the Smart Grid given the best control design
272,Storage Agent,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
273,Battery storages,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
274,Storage Agent,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
275,Battery storages,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
276,Battery storages,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
277,Battery storages,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
278,Battery storages,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
279,Electric Load,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
280,Building Management System (BMS),"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
281,Heating/Ventilation and Air-Conditioning system (HVAC),"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
282,Building Management System (BMS),"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
283,smart home applications utilizing IoT technologies,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
284,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
285,Heating/Ventilation and Air-Conditioning system (HVAC),"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
286,one heating system,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
287,distributed traffic lights network,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
288,distributed traffic lights network,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context."
289,Storage Agent,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
290,Battery storages,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
291,Storage Agent,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
292,Battery storages,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
293,Battery storages,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
294,Battery storages,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
295,Battery storages,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
296,Electric Load,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
297,Building Management System (BMS),system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
298,Heating/Ventilation and Air-Conditioning system (HVAC),system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
299,Building Management System (BMS),system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
300,smart home applications utilizing IoT technologies,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
301,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
302,Heating/Ventilation and Air-Conditioning system (HVAC),system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
303,one heating system,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
304,distributed traffic lights network,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
305,distributed traffic lights network,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
306,Storage Agent,agents perform different functions based on their unique advantages relative to other agents postdisruption
307,Battery storages,agents perform different functions based on their unique advantages relative to other agents postdisruption
308,Storage Agent,agents perform different functions based on their unique advantages relative to other agents postdisruption
309,Battery storages,agents perform different functions based on their unique advantages relative to other agents postdisruption
310,Battery storages,agents perform different functions based on their unique advantages relative to other agents postdisruption
311,Battery storages,agents perform different functions based on their unique advantages relative to other agents postdisruption
312,Battery storages,agents perform different functions based on their unique advantages relative to other agents postdisruption
313,Electric Load,agents perform different functions based on their unique advantages relative to other agents postdisruption
314,Building Management System (BMS),agents perform different functions based on their unique advantages relative to other agents postdisruption
315,Heating/Ventilation and Air-Conditioning system (HVAC),agents perform different functions based on their unique advantages relative to other agents postdisruption
316,Building Management System (BMS),agents perform different functions based on their unique advantages relative to other agents postdisruption
317,smart home applications utilizing IoT technologies,agents perform different functions based on their unique advantages relative to other agents postdisruption
318,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),agents perform different functions based on their unique advantages relative to other agents postdisruption
319,Heating/Ventilation and Air-Conditioning system (HVAC),agents perform different functions based on their unique advantages relative to other agents postdisruption
320,one heating system,agents perform different functions based on their unique advantages relative to other agents postdisruption
321,distributed traffic lights network,agents perform different functions based on their unique advantages relative to other agents postdisruption
322,distributed traffic lights network,agents perform different functions based on their unique advantages relative to other agents postdisruption
323,Storage Agent,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
324,Battery storages,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
325,Storage Agent,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
326,Battery storages,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
327,Battery storages,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
328,Battery storages,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
329,Battery storages,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
330,Electric Load,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
331,Building Management System (BMS),"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
332,Heating/Ventilation and Air-Conditioning system (HVAC),"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
333,Building Management System (BMS),"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
334,smart home applications utilizing IoT technologies,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
335,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
336,Heating/Ventilation and Air-Conditioning system (HVAC),"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
337,one heating system,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
338,distributed traffic lights network,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
339,distributed traffic lights network,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption"
340,Storage Agent,Negotiation and collaboration for resource allocation and demand efficiency
341,Battery storages,Negotiation and collaboration for resource allocation and demand efficiency
342,Storage Agent,Negotiation and collaboration for resource allocation and demand efficiency
343,Battery storages,Negotiation and collaboration for resource allocation and demand efficiency
344,Battery storages,Negotiation and collaboration for resource allocation and demand efficiency
345,Battery storages,Negotiation and collaboration for resource allocation and demand efficiency
346,Battery storages,Negotiation and collaboration for resource allocation and demand efficiency
347,Electric Load,Negotiation and collaboration for resource allocation and demand efficiency
348,Building Management System (BMS),Negotiation and collaboration for resource allocation and demand efficiency
349,Heating/Ventilation and Air-Conditioning system (HVAC),Negotiation and collaboration for resource allocation and demand efficiency
350,Building Management System (BMS),Negotiation and collaboration for resource allocation and demand efficiency
351,smart home applications utilizing IoT technologies,Negotiation and collaboration for resource allocation and demand efficiency
352,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),Negotiation and collaboration for resource allocation and demand efficiency
353,Heating/Ventilation and Air-Conditioning system (HVAC),Negotiation and collaboration for resource allocation and demand efficiency
354,one heating system,Negotiation and collaboration for resource allocation and demand efficiency
355,distributed traffic lights network,Negotiation and collaboration for resource allocation and demand efficiency
356,distributed traffic lights network,Negotiation and collaboration for resource allocation and demand efficiency
357,Storage Agent,Resolution of potencial conflicts
358,Battery storages,Resolution of potencial conflicts
359,Storage Agent,Resolution of potencial conflicts
360,Battery storages,Resolution of potencial conflicts
361,Battery storages,Resolution of potencial conflicts
362,Battery storages,Resolution of potencial conflicts
363,Battery storages,Resolution of potencial conflicts
364,Electric Load,Resolution of potencial conflicts
365,Building Management System (BMS),Resolution of potencial conflicts
366,Heating/Ventilation and Air-Conditioning system (HVAC),Resolution of potencial conflicts
367,Building Management System (BMS),Resolution of potencial conflicts
368,smart home applications utilizing IoT technologies,Resolution of potencial conflicts
369,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),Resolution of potencial conflicts
370,Heating/Ventilation and Air-Conditioning system (HVAC),Resolution of potencial conflicts
371,one heating system,Resolution of potencial conflicts
372,distributed traffic lights network,Resolution of potencial conflicts
373,distributed traffic lights network,Resolution of potencial conflicts
374,Electric Load,supply power power to the electric load
375,Electric Load,supply power power to the electric load
376,Population survey data,supply power power to the electric load
377,Electric Load,load-generation balance
378,Electric Load,load-generation balance
379,Population survey data,load-generation balance
380,Commercial Greenhouse Growers (CGGs),Negotiation and collaboration for resource allocation and demand efficiency
381,Commercial Greenhouse Growers (CGGs),Negotiation and collaboration for resource allocation and demand efficiency
382,Commercial Greenhouse Growers (CGGs),Negotiation and collaboration for resource allocation and demand efficiency
383,Commercial Greenhouse Growers (CGGs),Negotiation and collaboration for resource allocation and demand efficiency
384,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Negotiation and collaboration for resource allocation and demand efficiency
385,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Negotiation and collaboration for resource allocation and demand efficiency
386,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Negotiation and collaboration for resource allocation and demand efficiency
387,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Negotiation and collaboration for resource allocation and demand efficiency
388,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Negotiation and collaboration for resource allocation and demand efficiency
389,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Negotiation and collaboration for resource allocation and demand efficiency
390,Commercial Greenhouse Growers (CGGs),Resolution of potencial conflicts
391,Commercial Greenhouse Growers (CGGs),Resolution of potencial conflicts
392,Commercial Greenhouse Growers (CGGs),Resolution of potencial conflicts
393,Commercial Greenhouse Growers (CGGs),Resolution of potencial conflicts
394,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Resolution of potencial conflicts
395,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Resolution of potencial conflicts
396,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Resolution of potencial conflicts
397,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Resolution of potencial conflicts
398,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Resolution of potencial conflicts
399,Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems,Resolution of potencial conflicts
400,Transportation system (prosumer),system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
401,Oil & gas supply sytem (prosumer),system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
402,Water supply system (prosumer),system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events
